Instrument,Price,Last Modified,Location,Description
Roland Ju 06-a,"€ 310,00",oggi alle 07:48,Olbia-Tempio,"Come nuova
Per altre info contattatemi senza problemi 

Sped inclusa..."
TASTIERA YAMAHA MONTAGE 7 USATO SENZA SEGNI DI USURA,"€ 2.600,00",,,"MUSICALANDIA: 3387660205  0332771508
MONTAGE 7  RIENTRO DA NOSTRO CLIENTE CON GARANZIA  RESIDUA DI 12 MESI
STRUMENTO IMMACOLATO, PARI AL NUOVO.
..."
WALDORF MICRO Q RACK,prezzo su richiesta,,,WALDORF MICRO Q RACK...
Roland D50,"€ 250,00",oggi alle 07:31,Napoli,In buonissime condizioni considerando gli anni che ha. Pulsantiera joystick fader tutto perfettamente funzionante. La tastiera risponde bene ma una pulita dei rubber contact la renderebbe ancora più p...
Arturia Microbrute,"€ 200,00",oggi alle 07:19,Rovigo,"Vendo causa inutilizzo! 
Regalato ma non è il mio standard di sound.
Spedisco. No scambio.

..."
Roland Boutique Jd-08 completo di K-25m Keyboard / DK-01 Boutique Dock,"€ 498,90",,,"Roland Boutique Jd-08 completo di K-25m Keyboard / DK-01 Boutique Dock

Possibile permuta o scambio..."
Yamaha PSR-E203,"€ 70,00",oggi alle 07:13,Roma,Tastiera Yamaha PSR-E203 perfettamente funzionante con manuale alimentatore e custodia morbida imbottita originale yamaha. Disponibile alla spedizione vendo per inutilizzo...
Korg Minilogue,"€ 400,00",oggi alle 07:11,Ravenna,"Vendo Korg minilogue perfetto completo di imballo originale , sempre e solo usato in casa ! Prezzo trattabile..."
Studiologic Numa Compact 2x USATO NEGOZIO,"€ 599,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
TASTIERA YAMAHA MOX 6,"€ 499,00",,SERRAVALLE di Rep. di San Marino (XX),TASTIERA YAMAHA MOX 6...
Moog Little phatty stage 2,"€ 750,00",oggi alle 07:01,Udine,"Vendo, perfetto come nuovo, unico proprietario, usato poco in casa.
Imballo e manuale originali. € 750 spedizione inclusa!
No scambi. Grazie...."
Roland Juno Stage (76 Tasti) + Custodia Morbida KAWAI + Pedale Sustain,"€ 470,00",oggi alle 06:47,Brindisi,"Ultimo ribasso!

Vendo Tastiera Roland Juno Stage (76 Tasti) COME NUOVA usato solo in casa. Nessun difetto e nessun graffi. Prodotto pari al NUOVO. Caratteristiche tecniche al sito della ROLAND.

..."
Korg Monotron Duo synth scheda originale 5V,"€ 8,00",oggi alle 06:05,Lucca,"Come da titolo monotron duo Korg synth 2 oscillatori VCO SCHEDA COMPLETA come in foto inclusa tastiera ribbon, 
Visto e piaciuto, progetto di modding abbandonato, vendo così come ricambio no prova
 ..."
Yamaha CS1X synth,"€ 270,00",oggi alle 04:40,Bergamo,"Cedo x esubero ottimo synth tastiera 61 tasti Yamaha Cs1x ben tenuto a 270 euro.
X info Cristian 3339314691..."
Yamaha CS2X Synth,"€ 330,00",oggi alle 04:40,Bergamo,"Cedo per esubero synth 61 tasti Yamaha Cs2x ben tenuto a 330 euro.
X info Cristian 3339314691..."
Yamaha SY22 Vector synth,"€ 300,00",oggi alle 04:40,Bergamo,"Cedo per esubero ben tenuto Vector synth Yamaha SY22 a 300 euro.
X info Cristian 3339314691..."
TASTIERA AMPLIFICATA SIEL FLYING-61 scambio,"€ 100,00",oggi alle 03:11,Modena,"IL SIEL FLYING a 61 tasti è un modello analogo all'organo LX61 e al più recente MK610. Vari suoni 100% ANALOGICI di accompagnamento, piano elettrico, tromba, vibrafono, etc. più un inviluppo specifico..."
Drone snidx,"€ 200,00",oggi alle 02:41,Arezzo,"Vendesi drone della variable oscillator 
NO PERDITEMPO 
NON FACCIO ALCUN TIPO DI SPEDIZIONE SOLO RITIRO E CONSEGNA A MANO NELLA MIA CITTÀ..."
Drone error instruments,"€ 90,00",oggi alle 02:41,Arezzo,"Dronemachine della casa Error instruments 
NO PERDITEMPO 
NON FACCIO ALCUN TIPO DI SPEDIZIONE SOLO ESCLUSIVAMENTE RITIRO E CONSEGNA A MANO NELLA MIA CITTÀ..."
Drone king lab,"€ 100,00",oggi alle 02:41,Arezzo,"Vendesi dronemachine ottime condizioni 
NO PERDITEMPO 
NON FACCIO ALCUN TIPO DI SPEDIZIONE SOLO RITIRO E CONSEGNA A MANO NELLA MIA CITTÀ..."
Drone Resonant circuit,"€ 180,00",oggi alle 02:41,Arezzo,"Fantastico dronemachine della Resonant Circuit 
NO PERDITEMPO 
NON FACCIO ALCUN TIPO DI SPEDIZIONE SOLO RITIRO E CONSEGNA A MANO NELLA MIA CITTÀ..."
Landscape stereofield,"€ 300,00",oggi alle 02:41,Arezzo,"Vendo landscape stereofield completo di alimentatore 
NO PERDITEMPO 
NON FACCIO ALCUN TIPO DI SPEDIZIONE SOLO ESCLUSIVAMENTE RITIRO E CONSEGNA A MANO NELLA MIA CITTÀ..."
Circuit bent,"€ 40,00",oggi alle 02:41,Arezzo,"Vendo fantastico circuit bent della Lullaby Machine 

NON FACCIO ALCUN TIPO DI SPEDIZIONE SOLO RITIRO E CONSEGNA A MANO ZONA AREZZO..."
Baby boot moon armada,"€ 180,00",oggi alle 02:40,Arezzo,"Vendo straordinario babybot moon armada versione con cv

NON FACCIO ALCUN TIPO DI SPEDIZIONE SOLO RITIRO E CONSEGNA A MANO ZONA AREZZO..."
SEQUENTIAL Prophet Rev2 16 Voice MINT,"€ 2.090,00",oggi alle 01:50,Roma,"Come nuovo, mint condition, nessun graffio, praticamente mai usato, direi immacolato, vendo per inutilizzo.
No permute o scambi.
Ritiro a mano zona di Roma.
Solo seriamente interessati...."
Yamaha reface dx,"€ 280,00",oggi alle 01:27,Pescara,"vendo causa inutilizzo,synth yamaha reface dx come nuova piu' custodia originale imbottita yamaha.no perditempo no scambi
per contatti tel 3713464434 Giacomo..."
Alesis Micron ottime condizioni,"€ 350,00",oggi alle 01:19,Bologna,"Vendo in ottime condizioni sintetizzatore che sfrutta la tecnologia di emulazione a modelli fisici analogici. E’ dotato di tre ottave:tre oscillatori, 20 tipi di filtri, LFO multiplo, vocoder. Cominci..."
CP73 YAMAHA USATO NEGOZIO,"€ 1.749,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
Korg Korg Nautilus 61 USATO NEGOZIO,"€ 1.599,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
Roli seaboard Rise 49 usato di negozio,"€ 900,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
Dexibell  s7 pro usato negozio,"€ 1.650,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
DAVE Smith Sequential Prophet X USATO NEGOZIO,"€ 3.399,00",,Napoli (NA),"Pagamenti accettati 
* Contrassegno
* Bonifico Bancario
* Vaglia Postale
* Carta di credito
* Sistemi Web
* Finanziamento
* Carta del Docente

Carte di Credito, Sistemi Web e altre carte
Sol..."
Akai MPC Key 61 Usato negozio,"€ 1.699,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
Yamaha CP73 + Custodia originale usato negozio,"€ 1.950,00",,Napoli (NA),"Testo:PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite ..."
Yamaha Montage 7 usato negozio,"€ 2.990,00",,Napoli (NA),"Testo:PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite ..."
Yamaha YC88 usato negozio,"€ 2.500,00",,Napoli (NA),"Testo:PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite ..."
Novation Nova,"€ 450,00",oggi alle 01:01,Venezia,"Novation Nova

Polyphony - 16 voci
Oscillatori - 3 osc per voce
LFO - 2 LFO
Filter - Resonant Low-pass, Hi-pass, band-pass; 12, 18 and 24 dB/Oct
Envelopes - 1 ADSR for the amp, 2 DADSRs
Memory ..."
Virus TI desktop supporti in acciaio,"€ 50,00",oggi alle 00:46,Venezia,"Buongiorno, vendo splendidi supporti per Access Virus TI/TI2 desktop creati su misura in acciaio inossidabile. Vendo a 50€...."
Korg M3 + EXP 256Mb + Scheda Radias.,"€ 650,00",oggi alle 00:46,Venezia,"Ciao a tutti, vendo Korg M3 modulo, con espansione 256 Mb e scheda Radias installata...display perfetto e nuovo, ingressi ed uscite perfetti...encoder e slider perfetti...macchina stupenda ancora oggi..."
Roland TR 6s tr6s,"€ 350,00",ieri alle 23:40,Bologna,"Vendo per passaggio ad altro. usata poco e solo in casa. Valuto scambi con Elektron, eurorack o semimodulari Moog o Behringer..."
Access Virus TI2 Desktop,"€ 1.200,00",ieri alle 23:31,Varese,Come nuovo....
Korg minilogue,"€ 350,00",ieri alle 23:19,Torino,"Usato in buone condizioni estetiche. Perfettamente funzionante 
Cavo di alimentazione 
Custodia per il trasporto non originale
Spedizioni a carico del compratore o consegna a mano in zona torino su..."
Elektron Digitone,"€ 530,00",ieri alle 23:19,Torino,"Usata, perfettamente funzionante, non possiedo più la scatola, ritiro a mano in zona Torino sud o spedizione a carico da concordare.
Disponibile per prova o per video e foto aggiuntive..."
Behringer model d scambio con neutron o pro 1,"€ 240,00",ieri alle 22:53,Roma,ottime condizioni. Con alimentatore ma senza scatola e cavi...
Novation Supernova 2,"€ 700,00",ieri alle 22:10,Caserta,"Vendo Novation Supernova 2 versione 24 voci 61 tasti Ottime condizioni estetiche,usata solo ed esclusivamente in casa.Solito problema a 2 encoder,bisogna girarli lentamente per far prendere il valore...."
Make Noise Teleplexer come nuovo,"€ 70,00",ieri alle 21:33,Roma,"Make Noise Teleplexer usato un paio di volte.
Per maggiori informazioni potete contattarmi in privato.
Spedizioni a carico dell'acquirente.
..."
Yamaha Tg33,"€ 220,00",ieri alle 21:16,Monza e della Brianza,"Vendo expander midi Yamaha TG 33 Vector/Awm perfettamente in ordine e perfettamente funzionante.
Anno 1994

 ULTIMO PICCOLO RITOCCO AL PREZZO.... E.... 
CALCOLANDO CHE È IL PIÙ BASSO IN CIRCOLAZIO..."
Teenage Engineering op z sequencer synth,"€ 450,00",ieri alle 21:10,Bologna,"Perfettamente tenuto, con scatola, cavo e dust case. Valuto scambi con Elektron, eurorack o semimodulari Moog o Behringer..."
Paia Analog Synthesizers 9700-9720-9730-9710,prezzo su richiesta,,Luni (SP),Perfettamente funzionanti...
Korg Wavestation EX,"€ 350,00",ieri alle 19:34,Roma,Sintetizzatore a tastiera in più che buone condizioni e perfettamente funzionante con retroilluminazione nuova vendo a 350 euro possibilmente con scambio a mano. Eventuali spese di spedizione sono a c...
Korg VOLCA Sample synth campionatore Ableton Logic,"€ 90,00",ieri alle 19:24,Torino,"VENDO
Korg Volca Sample (I edizione)
perfettamente funzionante

Completa di

- Scatola Originale
- Manuale Originale
- Alimentatore non incluso (non fornito nel box originale)

All'interno l..."
Dreadbox Nymphes - Scambio,prezzo su richiesta,ieri alle 18:57,Milano,"Synth come nuovo ancora in garanzia, acquistato pochi mesi fa

Accetto proposte di scambio con altro synth desktop o a tastiera..."
Make Noise 0 coast - scambio,prezzo su richiesta,ieri alle 18:57,Milano,"Synth in perfette condizioni, completo di tutta la dotazione originale

Accetto proposte di scambio con altri synth..."
Roland Jupiter 4,"€ 4.000,00",ieri alle 18:44,Bergamo,"in perfetto stato funzionale con midi. buono stato di conservazione con qualche ovvio segno di utilizzo come è normale che sia dopo 43 anni....

no perditempo no sconti.

as is

ciao
..."
Yamaha CS15D Sintetizzatore Vintage,"€ 799,00",ieri alle 18:23,Torino,"tenuto in ottime condizioni, completamente funzionante, possibilità di testarlo di persona a torino.
Prodotto venduto solo con ritiro a mano, quindi non spedisco.
Prezzo trattabile..."
PROEL ST600 stabilizzatore rete,prezzo su richiesta,ieri alle 17:46,Milano,PROEL ST600 stabilizzatore rete proel 600 watt per studi live synth analogici perfetto...
HAMEG HM 203-7 Oscilloscopio 2 tracce,prezzo su richiesta,ieri alle 17:39,Milano,HAMEG HM 203-7 Oscilloscopio 2 tracce  con provacomponenti integrati modalità XY 20MHz perfetto da laboratorio completo di sonda textronix calibrato e perfettamente funzionante e ben tenuto luminosità...
SIEL CONCERTO ARP QUARTETTO,prezzo su richiesta,ieri alle 17:31,Milano,SIEL CONCERTO ARP QUARTETTO sono equivalenti… sintetizzatore completamente analogico polifonia totale perfettamente funzionante revisionato e controllato  strings cello piano clavicembalistico brass f...
ROLAND D10 sintetizzatore a sintesi LA,prezzo su richiesta,ieri alle 17:29,Milano,ROLAND D10 sintetizzatore a sintesi LA ROLAND ottimo tastiera perfettamente funzionante revisionato in laboratorio tenuto perfetto...
Ensoniq ASR 10R,prezzo su richiesta,,Luni (SP),"CONDIZIONI SPETTACOLARI. Ensoniq ASR-10R, dove la R sta ad indicare la versione Rack. Perfetto, bello, pronto e raro, proprio come lo vuoi tu...."
ARP ODYSSEY MK3 VINTAGE,prezzo su richiesta,ieri alle 17:25,Milano,ARP ODYSSEY MK3 VINTAGE revisionato e tenuto molto bene sonorità potentissime vintage analogiche il VERO ARP niente a che vedere con il KORG che a cominciare da mobile in plastica anziché in metallo p...
KORG SQ10 SEQUENCER,prezzo su richiesta,ieri alle 17:22,Milano,KORG SQ10 SEQUENCER  sequencer analogico interfacciabile con qualsiasi tipo di sintetizzatori analogici perfetto sia esteticamente che elettronicamente macchina completamente ricappata e revisionala c...
KORG 01W PRO X sintetizzatore a  tastiera pesata,prezzo su richiesta,ieri alle 17:16,Milano,"KORG 01W PRO X sintetizzatore a  tastiera pesata 88 tasti aftertouch perfetto ammiraglia serie proX perfetto 

..."
YAMAHA DX7 II D,prezzo su richiesta,ieri alle 17:12,Milano,YAMAHA DX7 II D assolutamente perfetto batteria appena sostituita...
simmons sde,prezzo su richiesta,ieri alle 17:02,Milano,"SIMMONS SDE expander rarissimo per suoni di batteria e percussioni qualità simmons alta dinamica perfetto sia esteticamente che elettronicamente uscite indipendenti pilotatile sia midi che pad 
..."
Dreadbox Dysmetria drum synth,"€ 380,00",ieri alle 16:38,Ragusa,"vendo Dreadbox Dysmetria assemblato e calibrato usato una settimana e riposto in scatolo perché felice possessore di un Analog Rhythm, il Dysmetria è un drum synth con sequencer incluso che strizza l'..."
Moog Etherwave THEREMIN,"€ 400,00",ieri alle 16:24,Monza e della Brianza,"Ha almeno 15 anni
Funziona bene
Ritiro a mano zona brianza
Spedizione a carico dell'acquirente..."
Korg Triton Extreme 88,"€ 480,00",ieri alle 16:17,Brescia,"Korg triton extreme 88 leggendario e affidabilissimo nei live.
Funzionante in tutto.
Richiede un minimo di intervento di pulizia contatti. Nello specifico o pulsanti prog e combi sono cliccabili ma ..."
Oberheim Matrix 1000,"€ 900,00",ieri alle 16:14,Milano,"Vendo per cambio strumentazione.Come nuovo, qualsiasi prova. 
Tenuto sempre in studio no fumatori. 

Tutti i suoni originali, sono un appassionato di synth e li tengo come l'oro.

Possibilità di ..."
Boss voice transformer VT 1,"€ 310,00",ieri alle 16:13,Monza e della Brianza,"Perfettamente funzionante
Qualche segno di usura
Ritiro a mano zona brianza
Spedizione a carico dell'acquirente..."
Gem rodeo 61 pezzi di ricambio,prezzo su richiesta,ieri alle 16:10,Monza e della Brianza,Chiedete cosa vi serve...
Roland Juno 60,"€ 4.700,00",,Montebelluna (TV),"Made in Japan anni 80,  61 tasti analog poly synth, condizioni near mint , con midi  e case rigido .Funzionalmente perfetto (appena ricontrollato da cima a fondo, recappato dove serviva, tarato e puli..."
Korg Microkorg PT 15th anniversary platinum,"€ 260,00",ieri alle 16:02,Monza e della Brianza,"Funziona benissimo
Ritiro a mano zona brianza
Spedizione a carico dell'acquirente...."
Roland D-50,"€ 700,00",ieri alle 15:27,Parma,Questa icona del synth anni '80 offre suoni classici e incredibilmente realistici che non possono essere replicati da altri strumenti. Con una vasta gamma di opzioni di programmazione e una facile int...
Yamaha Dx7II-FD,"€ 700,00",ieri alle 15:27,Parma,"""Vendo Yamaha DX7II-FD, un sintetizzatore iconico degli anni 80 con la scheda E aggiuntiva. Questo strumento è stato utilizzato da artisti di fama mondiale come Phil Collins, Herbie Hancock e Toto. La..."
Yamaha DX7 II FD,"€ 600,00",ieri alle 15:21,Roma,"Perfette condizioni (esteticamente molto molto buone). Per correttezza informo che nel corso del tempo è stato cambiato un tasto, sempre però con uno originale DX7 (e non c è neanche un minimo stacco ..."
Korg Ms 20 Mini PERFETTO,"€ 370,00",ieri alle 15:21,Roma,"Come nuovo.
Cavi patch ed alimentatore Korg originale incluso.

NON TRATTO, NON SCAMBIO, NON PERMUTO.

3481692864..."
Cavo Alimentazione Roland / Dynacord / Korg,"€ 15,00",ieri alle 14:58,Roma,"Cavo nuovo, mai utilizzato con connettore a due poli di ottima qualità-
Adatto per macchine Roland, Korg, Studer, Dynacord ed Akai S900 / S950 / AX / VX
Tel: 3334365494..."
"Alimentatore Korg (Volca, microKorg XL, microSampler, WDX Wavedrum, Kaoss Pad 3)","€ 12,00",ieri alle 14:38,Roma,"Alimentatore originale Korg.
Compatibile con Volca, microKorg XL, microSampler, WDX Wavedrum, Kaossilator-Pro, PS 60, Kaoss Pad 3.

Come nuovo, usato pochissimo, vendo per inutilizzo.

Consegna a..."
Tastiera Roland XP10  + Custodia e manuale + Espander Korg 05RW,"€ 300,00",ieri alle 13:48,Vercelli,"Tastiera Roland XP10 la più piccola della serie Xp perfetta con Custodia rigida un po usurata ma fa bene il suo dovere manuale  300 euro + eventuale spedizione

Espander Korg 05RW tenuto bene perfet..."
"Rack portatile completo con 4 Korg Volca, mixer, speaker","€ 500,00",ieri alle 13:14,Verona,"Vendo rack in legno da me costruito comprensivo di:
- Korg Volca Keys
- Korg Volca Bass
- Korg Volca FM
- Korg Volca Sample
- Mixer Behringer Xenyx
- Cassa audio Sony SRS-X3 (20W)
- Alimentator..."
Korg Z1,"€ 150,00",ieri alle 13:04,Bologna,"Korg Z1 non funzionate, ma perfetto :-)
si accende ma non carica i suoni.
..."
VENDO Sintetizzatore Korg Poly-61 (PREZZO LEGGERMENTE TRATTABILE!),"€ 700,00",ieri alle 12:28,Roma,"Vendo come da titolo questo fantastico Sintetizzatore della casa Korg il Poly-61.
lo strumento è stato acquistato da un precedente proprietario nella metà del 1982, anno in cui usci lo strumento.
Il..."
KORG TR76,"€ 390,00",ieri alle 12:27,Bari,"OTTIME CONDIZIONI


Trattasi di beni/oggetti usati e/o nuovi venduti da privato nelle condizioni in cui si trovano (anche se e/o in condizioni ottimali di vendita e/o funzionanti e/o parzialmente f..."
Roland XP80 + 4 card Exp,prezzo su richiesta,ieri alle 12:27,Bari,"Workstation in ottime condizioni con manuali in italiano.


Trattasi di beni/oggetti usati e/o nuovi venduti da privato nelle condizioni in cui si trovano (anche se e/o in condizioni ottimali di ve..."
Jen SX1000,prezzo su richiesta,,Luni (SP),Ottimo sintetizzatore JEN modello SX 1000 in pronta consegna. Contattaci per qualsiasi informazione...
Akai mpk249,"€ 315,00",,,"prodotto aperto in negozio con garanzia 2 anni
Experience expanded control of your VST instrument and effect collection with MPK249 and Akai Pro VIP3.0 (Free Download Included a $99.99 Value). VIP3.0..."
Roland JX-08,"€ 290,00",ieri alle 11:26,Roma,"Vendo come da titolo Roland jx-08 boutique. 
Disponibile a qualsiasi prova su Roma.
no imballo originale, no sconti...."
Make Noise Sto eurorack modulo vco,"€ 140,00",ieri alle 10:53,Isernia,Vendo Make Noise Sto.....
Clavia Nord lead 4 valuto scambio/permuta,"€ 950,00",ieri alle 10:23,Roma,"pari al nuovo no scatola
scambio con elektron un po' tutte, ma
soprattutto octatrack mk2 , oppure matrixbrute, valuto anche altre proposte.
..."
Yamaha PLG 150-AN | ANALOG PHYSICAL MODELLING - AN1X RARE!,"€ 449,00",,,Yamaha PLG 150-AN | ANALOG PHYSICAL MODELLING - AN1X | RARE !...
Roland JD 800 Synt,"€ 1.600,00",ieri alle 10:14,Varese,"Synt jd 800
In perfette condizioni 
Visibile a Sesto San Giovanni 
3201834123..."
Rhodes  model 760,"€ 250,00",ieri alle 09:09,Latina,"Roland rhodes model 760,sostanzialmente una Roland D70 in veste ancora piu ""slim""marchiata rhodes,compatta e leggera.Il suono dei'90!
Stessa meccanica semipesata,e con gli stessi problemi di colla ro..."
Yamaha reface cp,"€ 290,00",ieri alle 08:42,Taranto,Come da titolo vendo fantastica Yamaha reface cp completa di confezione e alimentazione originale tutto pari al nuovo...
Roland Juno DI,"€ 450,00",ieri alle 08:34,Bari,"Ottimo tastiera perfettamente funzionante e senza graffi.
Incluso alimentatore

Caratteristiche principali: 
SOUND GENERATOR
Polifonia max: 128 voci
Parti: 16 pezzi
Wave Memory: 64 M byte (16 b..."
Nord Wave 2,"€ 2.100,00",ieri alle 07:56,Napoli,Vendo per inutilizzo Nord Wave 2 usato pochissimo. Tenuto perfettamente. Con imballo originale. Regalo stand quiklok. Spedizione inclusa....
"Roland JUNO DS 76 - COME NUOVO - In garanzia, con imballo originale","€ 700,00",ieri alle 07:32,Brindisi,Vendo synth straordinario come da titolo. L'ho usato solo in studio per creare delle librerie. Mai uscito da casa. Ancora in garanzia fino a giugno 2023 (pagata 1000 euro con fattura Thomann). Come nu...
Yamaha CP30,prezzo su richiesta,,Luni (SP),"Il CP-30 è un pianoforte elettronico su larga scala con una tastiera completa a 76 tasti.

I generatori di toni a due canali e i controlli a pannello offrono una gamma eccezionalmente ampia di combi..."
hydrasynth deluxe,"€ 1.250,00",ieri alle 01:07,Novara,"Vendo hydrasynth deluxe in perfette condizioni estetiche e funzionali. 2 mesi di vita, usato poche ore in studio smoke free. E' pari al nuovo, imballi originali. Preferisco non spedire visto il peso d..."
Waldorf Streichfett vendo o scambio,"€ 180,00",questa settimana,Imperia,"Davvero ottimo synth a due parti, liberamente miscelabili o utilizzabili indipendentemente.
La tecnologia di base è simile al wavetable, e il segnale è infine processato da un chorus, un phaser e un ..."
Korg PA 700,"€ 800,00",questa settimana,Napoli,"Affsrone korg PA700 comprata nuova ed usata solo a  casa per imparare a suonare  meglio. Perfetta, con scontrino ma senza scatola o custodia.
NON TRATTABILE. NON SPEDISCO...."
"Intellijel ,Eurorack ,make noise ,mutable instrument , pico ,4ms,moog",prezzo su richiesta,questa settimana,Olbia-Tempio,"Vendo sistemi modulare per info contattatemi 

ELEMENTS     - 450
BRAIDS           - 250
HERMODS       - 390
MORGASMA     -300
PICO DRUMS     - 100
PICO TRIGGER   - 100
BATUMI+POTI  -  280
Z ..."
Vendo Solina Synthesizer+Solina+CS-50+OBSX+CR78,"€ 19.999,00",questa settimana,Perugia,"Strumenti unici
Un suono che tutti vorrebbero imitare 
Aspetto fisico reale del momento
VENDITA SOLTANTO IN BLOCCO
Visto e piaciuto
Niente reso
Pagamento in bonifico anticipato..."
Nord Nord Lead 4 USATO  NEGOZIO,"€ 1.599,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
Roland Juno 106 + Fly Case,"€ 2.990,00",,fidenza (PR),"Condizioni eccellenti
Spedizione in tutta Italia

Roland juno 106 in condizioni veramente eccellenti
Completo di Fly case..."
Yamaha SY 1,prezzo su richiesta,,Luni (SP),"Il primo sintetizzatore monofonico portatile Yamaha. Esteticamente porta qualche segno del tempo.

Un piccolo pezzo di storia, in fase di revisione, disponibile presso il nostro laboratorio...."
TASTIERA NORD 5D 73 USATO GARANTITO 12 MESI,"€ 1.599,00",,,"MUSICALANDIA: 3387660205  0332771508
NORD 5D 73 CON GARANZIA 12 MESI
CONDIZIONI OTTIME SENZA SEGNI
..."
TASTIERA KORG 01 W FD,"€ 299,00",,SERRAVALLE di Rep. di San Marino (XX),TASTIERA KORG 01 W FD...
ARTURIA BEATSTEP PRO BLACK - PERFETTO,"€ 248,90",,,ARTURIA BEATSTEP PRO BLACK - PERFETTO...
Access Virus ti2 synth 61 keys / librerie aggiuntive e bag originale,"€ 2.188,90",,,Access Virus ti2 synth 61 keys / librerie aggiuntive e bag originale...
Roland D50 (2),prezzo su richiesta,,Luni (SP),"Ottime condizioni estetiche, revisionato e garantito 12 mesi. Nuova batteria tampone, ogni parte è stata testata ed è in condizioni perfette...."
Roland JV50,prezzo su richiesta,,Luni (SP),Roland JV50 in ottime condizioni estetiche e perfettamente funzionante....
Yamaha SK20,prezzo su richiesta,,Luni (SP),"YAMAHA SK 20 in amazing conditions. Totalmente revisionato e perfetto sotto ogni aspetto estetico e funzionale, raro da trovare in queste condizioni...."
Korg MICROKEY237AIR,"€ 118,00",,,"PRODOTTO CON GARANZIA 2 ANNI -STATO PARI AL NUOVO
Nella serie microKey Air di casa Korg ritroviamo tutte le caratteristiche della seconda serie di tastiere MIDI/USB microKey alle quali si aggiunge la..."
Moog Polymoog,prezzo su richiesta,,Luni (SP),Moog Polymoog completo di pedaliera....
Alesis HARMONY 32,"€ 40,00",,,"TASTIERA APERTA SOLO PER MOSTRA,GARANZIA E STATO PARI AL NUOVO
Tastiera portatile a 2 ottave e mezzo (32 tasti) dotata di diffusori audio integrati, 300 suoni, 40 demo song e 300 basi ritmiche preset..."
Tiptop Audio Z2040 LP-VCF,prezzo su richiesta,,Luni (SP),Perfettamente funzionante...
Korg Kross 88 Platinum USATO,"€ 799,00",,Napoli (NA),"
PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite what..."
Korg TAKETILE49,"€ 159,00",,,"PRODOTTO APERTO SOLO IN NEGOZIO  PER MOSTRA VETRINA
STATO PARI AL NUOVO GARANZIA 24 MESI
Taktile features a stylish design that projects a sense of professionalism, functionality and style, together..."
TASTIERA YAMAHA MOTIF XF7 CON GARANZIA 12 MESI USATO PERFETTO,"€ 1.690,00",,,"MUSICALANDIA: 338/7660205  0332/771508
tastiera yamaha motif xf7 condizioni perfette 
garanzia 12 mesi
spedizione inclusa in tutta italia..."
Roland D50,"€ 498,00",,Boltiere (BG),"USATO. Buone condizioni estetiche e perfettamente funzionante.
Manuale e alimentazione inclusi

SINTETIZZATORE

Il Roland D-50 è un sintetizzatore digitale polifonico a 16 voci prodotto dalla Rol..."
Thomas Synthi 1055(2),prezzo su richiesta,,Luni (SP),"Il Synthi 1055 è stato progettato come miglioramento del Moog Satellite, ed è un monosynth preimpostato analogico con una tastiera a 3 1/2 ottave e 44 note (FA-C) (7 note in più rispetto al Satellite)..."
Roland JUNO 60,prezzo su richiesta,,Luni (SP),"NON HA BISOGNO DI PRESENTAZIONI. Storico Roland Juno 60 in condizioni ottime, completo di Fly Case rigido professionale, super performante...."
Waldorf Microwave 2 Rack,prezzo su richiesta,,Luni (SP),Waldorf Microwave 2 Rack...
